family,family_label,source_csv,case_id,status,is_official,is_partial,dp,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv,classification_mode,reference_time_s,criterion_class,max_displacement_m,disp_mm,disp_pct_deq,margin_mm,margin_pct_deq,max_rotation_deg,max_velocity_ms,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,tiempo_min,n_particles,mem_gpu_mb,family_order,margin_pct
al2,AL2,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv,al2_highH_m100_mu0880,OK_EXPORT,True,False,0.003,0.225,1.0,0.0,0.88,20.0,displacement_only,0.500001,ESTABLE,0.0033273642722128,3.327364272212897,3.313414795922065,1.693685727787103,1.686585204077935,4.758184116065739,0.1000286503857769,9.936924125619004,70493.39822318817,0.9621491065006296,0.0709435,,,,5,1.686585204077935
al2,AL2,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv,al2_highH_m115_mu0700,OK_EXPORT,True,False,0.003,0.225,1.15,0.0,0.7,20.0,displacement_only,0.500001,FALLO,0.022412458276592,22.412458276592098,22.318497402527456,-17.3914082765921,-17.318497402527456,7.904021738785348,0.1000382454164406,10.384083925744244,81021.80705284368,0.84986277177745,0.0721104,,,,5,-17.318497402527456
al2,AL2,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv,al2_highH_m115_mu0740,OK_EXPORT,True,False,0.003,0.225,1.15,0.0,0.74,20.0,displacement_only,0.500001,FALLO,0.0067476278053845,6.747627805384519,6.719339386567072,-1.7265778053845189,-1.7193393865670723,5.9315724706067305,0.1001777336337771,10.289588260967928,80739.52509825531,0.9814890184446334,0.0716852,,,,5,-1.7193393865670723
al2,AL2,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv,al2_highH_m125_mu0660,OK_EXPORT,True,False,0.003,0.225,1.25,0.0,0.66,20.0,displacement_only,0.500001,FALLO,0.016406794354779,16.406794354779038,16.33801132709198,-11.38574435477904,-11.33801132709198,7.12276214802256,0.0999955836124776,9.92960355671489,88583.854037663,0.8865748880738784,0.0713931,,,,5,-11.33801132709198
al3,AL3,exports\al_batch3_gp_after_al2_20260518\al_batch3_summary.csv,al3_lowH_m085_mu0572,OK_EXPORT,True,False,0.003,0.175,0.85,0.0,0.572,20.0,displacement_only,0.500003,ESTABLE,0.0017742237739363,1.7742237739363895,1.7667856065328862,3.24682622606361,3.233214393467114,4.780428447188029,0.0999956335346699,9.017050746918308,24305.72875968176,0.726220770085826,0.0659583,,,,6,3.233214393467114
al3,AL3,exports\al_batch3_gp_after_al2_20260518\al_batch3_summary.csv,al3_base_m085_mu0800,OK_EXPORT,True,False,0.003,0.2,0.85,0.0,0.8,20.0,displacement_only,0.500009,ESTABLE,0.0048730074902464,4.873007490246416,4.852578136292625,0.1480425097535835,0.1474218637073754,5.485664522085381,0.1003312385800155,8.726496983899095,9061.384378972123,0.744266003287803,0.0685221,,,,6,0.1474218637073754
al3,AL3,exports\al_batch3_gp_after_al2_20260518\al_batch3_summary.csv,al3_midH_m085_mu0900,OK_EXPORT,True,False,0.003,0.21,0.85,0.0,0.9,20.0,displacement_only,0.500012,ESTABLE,0.0033865937164059,3.3865937164059847,3.3723959295426105,1.634456283594015,1.6276040704573895,5.22265271630607,0.0999903904232801,8.881764412384513,6686.943830549801,0.8643727704255355,0.0697537,,,,6,1.6276040704573895
al3,AL3,exports\al_batch3_gp_after_al2_20260518\al_batch3_summary.csv,al3_midH_m100_mu0755,OK_EXPORT,True,False,0.003,0.21,1.0,0.0,0.755,20.0,displacement_only,0.500012,ESTABLE,0.0035902311903276,3.590231190327696,3.575179683858651,1.4308188096723042,1.424820316141349,5.245978162534029,0.1002736437255573,9.294158664100587,7796.480146797015,0.8659671262558931,0.0690306,,,,6,1.424820316141349
al3,AL3,exports\al_batch3_gp_after_al2_20260518\al_batch3_summary.csv,al3_highH_m100_mu0870,OK_EXPORT,True,False,0.003,0.225,1.0,0.0,0.87,20.0,displacement_only,0.500001,ESTABLE,0.0029886578927672,2.9886578927672813,2.976128392235968,2.0323921072327185,2.023871607764032,4.839221748833038,0.1000646248631353,10.114035225116629,70402.55406978428,0.9094252612887987,0.0714512,,,,6,2.023871607764032
al3,AL3,exports\al_batch3_gp_after_al2_20260518\al_batch3_summary.csv,al3_highH_m115_mu0760,OK_EXPORT,True,False,0.003,0.225,1.15,0.0,0.76,20.0,displacement_only,0.500001,ESTABLE,0.0043054779061097,4.305477906109727,4.287427834924694,0.7155720938902732,0.7125721650753061,5.1661728377231215,0.1002687840805901,10.592435906929056,80623.04265387409,0.8553340135968228,0.0714793,,,,6,0.7125721650753061
al3,AL3,exports\al_batch3_gp_after_al2_20260518\al_batch3_summary.csv,al3_highH_m115_mu0780,OK_EXPORT,True,False,0.003,0.225,1.15,0.0,0.78,20.0,displacement_only,0.500001,ESTABLE,0.0019030444030551,1.9030444030551013,1.8950661744606223,3.118005596944898,3.104933825539377,4.738286067156607,0.1003058415098542,10.194727171205514,80574.03304946389,0.9504528217624691,0.0712747,,,,6,3.104933825539377
